component_id,component_type,error_name,created
GR003159,ground,goto_finished_off_sticker,1682812996.568834
GR003159,ground,corners_cv_started,1682812996.926863
GR003159,ground,corners_cv_succeeded,1682812997.010134
GR003261,ground,goto_finished_off_sticker,1682813071.266367
GR003264,ground,goto_finished_off_sticker,1682813688.537761
GR003264,ground,corners_cv_started,1682813688.565185
GR003264,ground,goto_started_off_sticker,1682813696.031857
GR003291,ground,goto_finished_off_sticker,1682813905.570015
GR003291,ground,corners_cv_started,1682813906.349235
GR003291,ground,corners_cv_succeeded,1682813906.352451
GR003283,ground,goto_finished_off_sticker,1682814078.278116
GR003283,ground,corners_cv_started,1682814078.302218
GR003283,ground,corners_cv_succeeded,1682814078.95106
GR003283,ground,corners_cv_irrelevant,1682814078.951597
GR003283,ground,corners_cv_started,1682814089.461557
GR003283,ground,corners_cv_succeeded,1682814089.56231
GR003242,ground,missing_sticker,1682814637.934147
GR003277,ground,goto_finished_off_sticker,1682814660.077982
GR003277,ground,corners_cv_started,1682814660.103681
GR003277,ground,corners_cv_succeeded,1682814660.139137
GR003215,ground,goto_finished_off_sticker,1682814732.002707
GR003215,ground,corners_cv_started,1682814732.027598
GR003215,ground,corners_cv_succeeded,1682814732.839779
LR00002254,lift,fine_positioning_tote_centering_after_hs_error,1682815631.351867
LR00002254,lift,auto_reset_agent,1682815652.184482
GR003283,ground,goto_finished_off_sticker,1682815765.705738
GR003283,ground,corners_cv_started,1682815765.726111
GR003283,ground,corners_cv_succeeded,1682815765.729568
GR003277,ground,goto_finished_off_sticker,1682815857.613216
GR003277,ground,corners_cv_started,1682815858.373464
GR003277,ground,corners_cv_succeeded,1682815858.585628
GR003221,ground,goto_finished_off_sticker,1682816196.050834
GR003221,ground,corners_cv_started,1682816196.095673
GR003221,ground,corners_cv_succeeded,1682816196.888781
GR003295,ground,goto_finished_off_sticker,1682816277.509453
GR003295,ground,corners_cv_started,1682816277.557221
GR003295,ground,corners_cv_succeeded,1682816277.571091
GR003068,ground,goto_finished_off_sticker,1682816519.284479
GR003068,ground,corners_cv_started,1682816519.301432
GR003068,ground,corners_cv_succeeded,1682816519.341758
GR003068,ground,corners_cv_irrelevant,1682816519.35168
GR003068,ground,goto_started_off_sticker,1682816560.013367
GR003068,ground,missing_sticker,1682816562.136373
GR003068,ground,missing_sticker,1682816563.274384
GR003068,ground,missing_stickers,1682816569.530275
GR003068,ground,signup_no_sticker,1682816569.667035
GR003270,ground,goto_finished_off_sticker,1682817125.972308
GR003270,ground,corners_cv_started,1682817125.984945
GR003270,ground,corners_cv_succeeded,1682817125.993965
GR003295,ground,goto_finished_off_sticker,1682818109.045592
GR003295,ground,corners_cv_started,1682818109.067277
GR003295,ground,corners_cv_succeeded,1682818109.103024
GR003291,ground,goto_finished_off_sticker,1682818179.514361
GR003291,ground,corners_cv_started,1682818179.575503
GR003291,ground,corners_cv_succeeded,1682818179.591592
GR003068,ground,auto_reset_agent,1682818217.82512
GR003082,ground,goto_finished_off_sticker,1682818571.177406
GR003082,ground,corners_cv_started,1682818571.199835
GR003082,ground,corners_cv_succeeded,1682818571.837308
GR003082,ground,corners_cv_irrelevant,1682818571.854658
GR003212,ground,goto_finished_off_sticker,1682819077.327834
GR003212,ground,corners_cv_started,1682819077.340546
GR003212,ground,corners_cv_succeeded,1682819077.38641
GR003165,ground,periodic_goto_timeout,1682819356.404792
GR003165,ground,auto_reset_agent,1682819356.455973
GR003120,ground,missing_sticker,1682822586.279842
LR00002288,lift,auto_reset_agent,1682826432.509928
GR003263,ground,goto_finished_off_sticker,1682828978.719321
GR003263,ground,corners_cv_started,1682828979.178737
GR003263,ground,corners_cv_succeeded,1682828979.345386
GR003280,ground,missing_sticker,1682830166.878757
GR003165,ground,periodic_goto_timeout,1682830176.500863
GR003165,ground,auto_reset_agent,1682830176.620809
GR003165,ground,read_data_matrix_timeout,1682830240.193541
LR00002288,lift,reset_agent_by_user,1682831330.218793
LR00002120,lift,reset_agent_by_user,1682831342.69203
GR003156,ground,ground_not_responding,1682832212.489023
GR003156,ground,goto_timeout,1682832240.297017
GR003156,ground,auto_reset_agent,1682832240.345824
GR003275,ground,turn_timeout,1682832741.280146
GR003275,ground,auto_reset_agent,1682832743.359595
GR003227,ground,auto_reset_agent,1682832755.906564
GR003165,ground,ground_not_responding,1682832916.289995
GR003165,ground,goto_timeout,1682832938.05301
GR003165,ground,auto_reset_agent,1682832938.209245
GR003165,ground,offline,1682833207.196829
GR003275,ground,turn_timeout,1682835381.781655
GR003275,ground,auto_reset_agent,1682835383.456295
GR003275,ground,robot_version_timeout,1682835422.007954
GR003275,ground,robot_version_timeout,1682835432.007743
GR003227,ground,periodic_goto_timeout,1682835624.025641
GR003227,ground,auto_reset_agent,1682835624.779164
GR003227,ground,robot_version_timeout,1682835652.438266
GR003227,ground,read_data_matrix_timeout,1682835699.976184
GR003254,ground,validate_sticker_timeout,1682835880.237275
GR003251,ground,goto_finished_off_sticker,1682835969.675208
GR003251,ground,corners_cv_started,1682835969.690153
GR003251,ground,turn_started_off_sticker,1682835971.74038
GR003251,ground,workaround_started,1682835972.28544
GR003251,ground,goto_finished_off_sticker,1682835973.471935
GR003251,ground,corners_cv_started,1682835973.500165
GR003251,ground,workaround_dismissed,1682835974.607301
GR003251,ground,workaround_failed,1682835975.534916
GR003251,ground,corners_cv_started,1682835996.666046
GR003251,ground,turn_finished_off_sticker,1682836001.936887
GR003251,ground,signup_no_sticker,1682836002.06788
LR00002288,lift,auto_reset_agent,1682836435.323049
LR00002120,lift,auto_reset_agent,1682836438.136488
LR00002267,lift,auto_reset_agent,1682836482.446748
LR00002113,lift,auto_reset_agent,1682836484.668525
LR00002282,lift,auto_reset_agent,1682836487.179101
GR003251,ground,safety_entered,1682836755.867104
GR003251,ground,robot_restarted,1682836757.167052
GR003251,ground,auto_reset_agent,1682836757.614106
LR00002282,lift,auto_reset_agent,1682836875.45358
LR00002288,lift,auto_reset_agent,1682836878.652881
LR00002120,lift,auto_reset_agent,1682836880.177629
LR00002267,lift,auto_reset_agent,1682836882.066419
LR00002113,lift,auto_reset_agent,1682836884.844564
LR00002267,lift,auto_reset_agent,1682837130.965921
GR003227,ground,periodic_goto_timeout,1682837253.867689
GR003227,ground,auto_reset_agent,1682837254.207954
LR00002265,lift,conveyor_not_success_to_pull_the_tote_while_loading,1682837353.070803
GR003267,ground,missing_sticker,1682837601.701316
LR00002265,lift,lift_not_responding,1682838761.558092
LR00002093,lift,auto_reset_agent,1682838787.474526
LR00002114,lift,auto_reset_agent,1682838790.221121
